Drill Listing
=============
Drill: .01378  Tool: 1  Feed: 95  Speed: 300
X 1583222  Y 1401291
X 1584630  Y 1386607
X 1599919  Y 1398073
X 1600522  Y 1381577
X 1606960  Y 1388417
X 1640794  Y 1390725
X 1641580  Y 1400729
X 1649384  Y 1390306
X 1649803  Y 1400467
X 1659073  Y 1400257
X 1659073  Y 1390306
X 1669705  Y 1390306
X 1674419  Y 1400571
X 1678923  Y 1390725
X 1686306  Y 1397197
X 1686853  Y 1406324
X 1691061  Y 1401514
X 1691498  Y 1394191
X 1790841  Y 1399961
X 1810088  Y 1404172
X 1830505  Y 1405029
X 1838540  Y 1404633
X 1856209  Y 1402849
X 1868741  Y 1402849
X 1883352  Y 1391890
X 1921073  Y 1403332
X 1928861  Y 1404630
X 1938564  Y 1381470
X 1950886  Y 1402214
X 1953830  Y 1404409
X 1993538  Y 1386094
X 1995277  Y 1396781
X 2001862  Y 1403784
X 2014588  Y 1419519
X 2014498  Y 1423806
X 2014448  Y 1427771
X 2013447  Y 1409139
X 2001465  Y 1412483
X 1996899  Y 1427862
X 1996897  Y 1424247
X 1989250  Y 1419670
X 1984153  Y 1429308
X 1981279  Y 1428241
X 1978081  Y 1425578
X 1973526  Y 1411699
X 1968840  Y 1415447
X 1964794  Y 1416909
X 1962203  Y 1413573
X 1959527  Y 1417220
X 1955487  Y 1415213
X 1951507  Y 1416912
X 1951146  Y 1410114
X 1949396  Y 1407187
X 1943570  Y 1416473
X 1941679  Y 1413202
X 1929145  Y 1410275
X 1927279  Y 1415638
X 1925321  Y 1425377
X 1923499  Y 1407386
X 1919253  Y 1429488
X 1914859  Y 1418168
X 1910052  Y 1423219
X 1906239  Y 1425865
X 1901833  Y 1429335
X 1901453  Y 1426255
X 1898505  Y 1425552
X 1897775  Y 1420630
X 1891870  Y 1412642
X 1891801  Y 1421539
X 1889051  Y 1408206
X 1886568  Y 1417091
X 1884476  Y 1409777
X 1870844  Y 1410331
X 1869821  Y 1422586
X 1868617  Y 1417876
X 1867875  Y 1406801
X 1853872  Y 1406644
X 1852723  Y 1424433
X 1852448  Y 1418289
X 1851800  Y 1412056
X 1844666  Y 1414145
X 1844377  Y 1407119
X 1834634  Y 1412835
X 1827501  Y 1431187
X 1827284  Y 1412704
X 1826968  Y 1423899
X 1822952  Y 1426224
X 1817903  Y 1424966
X 1816520  Y 1411194
X 1807332  Y 1416248
X 1797684  Y 1408766
X 1792823  Y 1413500
X 1785409  Y 1423251
X 1781607  Y 1424424
X 1776329  Y 1421865
X 1773342  Y 1421595
X 1769680  Y 1421681
X 1762769  Y 1414857
X 1761999  Y 1421865
X 1760281  Y 1408293
X 1737833  Y 1423818
X 1736459  Y 1413485
X 1734271  Y 1430308
X 1732234  Y 1419644
X 1731936  Y 1426308
X 1731827  Y 1413179
X 1729050  Y 1427760
X 1726432  Y 1418728
X 1725912  Y 1427028
X 1720360  Y 1429717
X 1709556  Y 1429160
X 1691657  Y 1416455
X 1691443  Y 1409712
X 1690624  Y 1425015
X 1687782  Y 1414685
X 1681154  Y 1417695
X 1678925  Y 1420879
X 1675735  Y 1422703
X 1669432  Y 1415942
X 1662195  Y 1418192
X 1659283  Y 1407799
X 1650012  Y 1408009
X 1649579  Y 1418290
X 1641161  Y 1408428
X 1640875  Y 1417312
